repo,language,type,has_gitignore,has_editorconfig,has_justfile,has_containerfile,has_guix,has_flake,has_rsr,needs_work
7-tentacles,rescript,app,yes,yes,yes,no,yes,yes,yes,none
absolute-zero,javascript,npm,no,yes,yes,yes,yes,no,yes,none
Academic-Workflow-Suite,guix,channel,no,yes,yes,no,yes,yes,yes,none
accessibility-everywhere,javascript,npm,yes,yes,yes,no,yes,yes,yes,none
ada-loom-registry,guix,channel,yes,yes,yes,no,yes,no,yes,none
aggregate-library,guix,channel,yes,yes,yes,yes,yes,yes,yes,none
airborne-submarine-squadron,guix,channel,yes,yes,yes,no,yes,yes,yes,none
aletheia,rust,binary,yes,yes,yes,yes,yes,yes,yes,none
Anamnesis,guix,channel,no,yes,yes,no,yes,no,yes,none
asdf,guix,channel,yes,yes,yes,no,yes,no,yes,none
asdf-acceleration-middleware,rust,library,yes,yes,yes,no,yes,yes,yes,none
asdfghj,guix,channel,yes,yes,yes,no,yes,no,yes,none
asdf-ghjk,guix,channel,yes,yes,yes,no,yes,yes,yes,none
asdf-zig,rescript,app,yes,yes,yes,no,yes,no,yes,none
Axiom.jl,guix,channel,no,yes,yes,no,yes,yes,yes,none
betlang,guix,channel,yes,yes,yes,no,yes,no,yes,none
Blue-Screen-of-App,rescript,app,yes,yes,yes,yes,yes,yes,yes,none
bofig,elixir,app,yes,yes,yes,no,yes,no,yes,none
boinc-boinc,guix,channel,no,yes,yes,no,yes,yes,yes,none
branch-newspaper,guix,channel,no,yes,yes,no,yes,no,yes,none
broad-spectrum,rescript,app,yes,yes,yes,no,yes,yes,yes,none
bunsenite,rust,binary,yes,yes,yes,no,yes,yes,yes,none
candy-crash,guix,channel,yes,yes,yes,yes,yes,yes,yes,none
Cerro-Torre,guix,channel,yes,yes,yes,no,yes,no,yes,none
checky-monkey,guix,channel,yes,yes,yes,no,yes,no,yes,none
CIcaDA,guix,channel,no,yes,yes,no,yes,no,yes,none
Civic-Connect,guix,channel,no,yes,yes,no,yes,no,yes,none
claim-forge,guix,channel,yes,yes,yes,yes,yes,no,yes,none
claude-gitlab-bridge,rescript,app,yes,yes,yes,no,yes,no,yes,none
conative-gating,rust,binary,yes,yes,yes,no,yes,no,yes,none
conflow,rust,binary,yes,yes,yes,no,yes,yes,yes,none
consent-aware-http,guix,channel,yes,yes,yes,no,yes,yes,yes,none
czech-file-knife,guix,channel,yes,yes,yes,no,yes,no,yes,none
defiant,guix,channel,no,yes,yes,no,yes,no,yes,none
dicti0nary-attack,rust,binary,yes,yes,yes,yes,yes,no,yes,none
disinfo-nsai-detector,guix,channel,yes,yes,yes,yes,yes,no,yes,none
double-track-browser,javascript,npm,yes,yes,yes,no,yes,yes,yes,none
echidna,rust,binary,yes,yes,yes,yes,yes,yes,yes,none
echidnabot,guix,channel,no,yes,yes,no,yes,no,yes,none
eclexia-playground,rescript,app,yes,yes,yes,no,yes,no,yes,none
elegant-STATE,guix,channel,yes,yes,yes,no,yes,no,yes,none
Excel-Economic-Numbers-Tool,rescript,app,yes,yes,yes,yes,yes,yes,yes,none
exorcised-nerdctl,guix,channel,no,yes,yes,no,yes,no,yes,none
feedback-a-tron,guix,channel,no,yes,yes,no,yes,yes,yes,none
file-soup,rust,library,yes,yes,yes,yes,yes,yes,yes,none
fireflag,guix,channel,yes,yes,yes,no,yes,no,yes,none
fogbinder,rescript,app,yes,yes,yes,no,yes,yes,yes,none
github-slideshow,guix,channel,yes,yes,yes,no,yes,no,yes,none
gitloom,guix,channel,yes,yes,yes,no,yes,no,yes,none
git-rsr-certified,rust,library,yes,yes,yes,no,yes,yes,yes,none
git-hud,guix,channel,yes,yes,yes,yes,yes,yes,yes,none
grim-repo,rescript,app,yes,yes,yes,no,yes,yes,yes,none
gsbot,guix,channel,yes,yes,yes,no,yes,no,yes,none
heterogenous-mobile-computing,rust,binary,yes,yes,yes,no,yes,yes,yes,none
hybrid-automation-router,elixir,app,yes,yes,yes,no,yes,no,yes,none
idaptik,rust,binary,yes,yes,yes,no,yes,no,yes,none
idaptik-reversibley,rescript,app,yes,yes,yes,no,yes,no,yes,none
idaptiky,rescript,app,yes,yes,yes,no,yes,no,yes,none
im-docs,guix,channel,no,yes,yes,no,yes,no,yes,none
indieweb2-bastion,rescript,app,yes,yes,yes,yes,yes,no,yes,none
ipv6-only,rust,binary,yes,yes,yes,yes,yes,yes,yes,none
irker,guix,channel,yes,yes,yes,no,yes,no,yes,none
januskey,guix,channel,yes,yes,yes,no,yes,no,yes,none
jtv-playground,guix,channel,yes,yes,yes,no,yes,no,yes,none
jusys,guix,channel,yes,yes,yes,no,yes,yes,yes,none
Kaldor-IIoT,guix,channel,yes,yes,yes,no,yes,yes,yes,none
kith,guix,channel,yes,yes,yes,no,yes,no,yes,none
laminar,guix,channel,yes,yes,yes,no,yes,no,yes,none
laniakea,guix,channel,no,yes,yes,no,yes,yes,yes,none
llm-antidote,guix,channel,no,yes,yes,no,yes,yes,yes,none
llm-unify,rust,library,yes,yes,yes,no,yes,no,yes,none
llm-verify,guix,channel,yes,yes,yes,no,yes,no,yes,none
LOL,rescript,app,yes,yes,yes,yes,yes,yes,yes,none
me-dialect-playground,rust,binary,no,yes,yes,no,yes,yes,yes,none
megadog,guix,channel,yes,yes,yes,no,yes,yes,yes,none
Misinformation-Defence-Platform,guix,channel,no,yes,yes,no,yes,no,yes,none
modshells,guix,channel,yes,yes,yes,no,yes,no,yes,none
nafa-app-ambient,guix,channel,yes,yes,yes,yes,yes,no,yes,none
nano-ruber,guix,channel,yes,yes,yes,no,yes,no,yes,none
neurophone,rust,library,yes,yes,yes,no,yes,no,yes,none
nick-shells,guix,channel,no,yes,yes,no,yes,no,yes,none
obli-fs,guix,channel,yes,yes,yes,yes,yes,yes,yes,none
obli-riscv-dev-kit,guix,channel,yes,yes,yes,no,yes,no,yes,none
obli-transpiler-framework,guix,channel,yes,yes,yes,no,yes,no,yes,none
palimpsest-license,javascript,npm,yes,yes,yes,yes,yes,yes,yes,none
Panoptes,rust,binary,yes,yes,yes,yes,yes,yes,yes,none
phantom-metal-taste,rescript,app,yes,yes,yes,no,yes,yes,yes,none
polyglot-i18n,javascript,npm,yes,yes,yes,no,yes,yes,yes,none
preference-injector,rescript,app,yes,yes,yes,no,yes,yes,yes,none
proof-of-work,rust,binary,yes,yes,yes,no,yes,no,yes,none
recon-silly-ation,rescript,app,yes,yes,yes,yes,yes,yes,yes,none
rescript-evangeliser,guix,channel,no,yes,yes,no,yes,yes,yes,none
Rescript-TEA,rescript,app,yes,yes,yes,no,yes,yes,yes,none
rescript-wasm-runtime,rescript,app,yes,yes,yes,yes,yes,yes,yes,none
resource-record-fluctuator,guix,channel,yes,yes,yes,no,yes,no,yes,none
rhodium-pipeline,guix,channel,yes,yes,yes,no,yes,no,yes,none
robot-repo-bot,guix,channel,no,yes,yes,no,yes,no,yes,none
robot-vacuum-cleaner,guix,channel,no,yes,yes,no,yes,no,yes,none
rpa-elysium,guix,channel,yes,yes,yes,no,yes,no,yes,none
RRecord-Verity,javascript,npm,yes,yes,yes,no,yes,no,yes,none
RSR-template-repo,guix,channel,no,yes,yes,no,yes,no,yes,none
safe-brute-force,guix,channel,yes,yes,yes,no,yes,yes,yes,none
scaffoldia,guix,channel,yes,yes,yes,no,yes,no,yes,none
sinople-theme,rust,library,yes,yes,yes,yes,yes,no,yes,none
sinople-wharf,rescript,app,yes,yes,yes,no,yes,no,yes,none
Social-Media-Dipstick,guix,channel,yes,yes,yes,no,yes,no,yes,none
social-media-polygraph,guix,channel,yes,yes,yes,no,yes,yes,yes,none
STATE.scm,guix,channel,yes,yes,yes,yes,yes,yes,yes,none
SuperNorma,guix,channel,yes,yes,yes,no,yes,no,yes,none
SupraNorma,rescript,app,yes,yes,yes,no,yes,yes,yes,none
synapse,guix,channel,yes,yes,yes,no,yes,no,yes,none
the-hotchocolabot,rust,binary,yes,yes,yes,no,yes,yes,yes,none
thejeffparadox,guix,channel,yes,yes,yes,no,yes,yes,yes,none
thunderbird,guix,channel,yes,yes,yes,no,yes,no,yes,none
tma-mark2,elixir,app,yes,yes,yes,yes,yes,yes,yes,none
tree-navigator,guix,channel,yes,yes,yes,no,yes,no,yes,none
UbiCity,rescript,app,yes,yes,yes,yes,yes,yes,yes,none
union-policy-parsers,guix,channel,yes,yes,yes,no,yes,no,yes,none
universal-language-server-plugin,guix,channel,yes,yes,yes,no,yes,yes,yes,none
Universal-Project-Manager,guix,channel,no,yes,yes,no,yes,no,yes,none
v3-templater,rescript,app,yes,yes,yes,yes,yes,yes,yes,none
valence-shell,guix,channel,yes,yes,yes,yes,yes,no,yes,none
vext,python,package,yes,yes,yes,no,yes,yes,yes,none
Voyage-Enterprise-Decision-System,guix,channel,no,yes,yes,no,yes,no,yes,none
well-known-ecosystem,guix,channel,yes,yes,yes,no,yes,no,yes,none
wharf,rust,library,yes,yes,yes,no,yes,yes,yes,none
wordpress-wharf,rescript,app,yes,yes,yes,no,yes,no,yes,none
wp-audit-toolkit,guix,channel,yes,yes,yes,no,yes,no,yes,none
wp-plugin-conflict-mapper,guix,channel,yes,yes,yes,no,yes,no,yes,none
wp-praxis,guix,channel,yes,yes,yes,no,yes,yes,yes,none
wp-sinople-theme,guix,channel,yes,yes,yes,no,yes,yes,yes,none
ZeroStep,rust,binary,yes,yes,yes,yes,yes,yes,yes,none
zoteRho-template,rescript,app,yes,yes,yes,yes,yes,no,yes,none
ZoteRho-template,rescript,app,yes,yes,yes,no,yes,no,yes,none
zotero,guix,channel,yes,yes,yes,no,yes,no,yes,none
zotero-nsai,rescript,app,yes,yes,yes,no,yes,no,yes,none
zotero-rescript-templater,guix,channel,no,yes,yes,yes,yes,yes,yes,none
zotero-voyant-export,guix,channel,yes,yes,yes,no,yes,no,yes,none
zotpress,guix,channel,yes,yes,yes,no,yes,no,yes,none
